districts;population;bashkirs;russians;tatars ;chuvashs ;mariis ;ukrainians;mordva;udmurts ;belarusians ;others;
Абзелиловский;35651;25337;7816;1314;77;7;527;104;2;92;375;
Альшеевский;62219;12162;19267;21129;1811;18;6300;445;11;276;800;
Архангельский;35605;10206;17865;3249;1094;18;277;17;3;1180;1696;
Аскинский;37172;18494;11070;7126;10;247;53;7;34;104;27;
Аургазинский;51931;4089;4863;23666;15801;0;1472;1965;3;20;52;
Баймакский;51021;31041;14843;3518;255;24;515;516;9;53;247;
Бакалинский;47017;6322;14038;23150;1646;1229;111;449;3;29;40;
Балтачевский;39269;24245;2464;6612;12;4920;18;6;951;6;35;
Белебеевский;35745;1170;17208;6149;7496;643;2017;609;5;324;124;
Белокатайский;30377;9725;18788;1438;105;6;195;15;7;39;59;
Белорецкий;57362;17487;36212;2417;269;76;403;114;18;113;253;
Бижбулякский;37552;2636;5258;10781;14483;6;638;3377;0;314;59;
Бирский;58346;2130;41257;6894;88;7249;399;29;58;62;180;
Благоварский;32460;11321;6800;9025;53;19;2890;32;3;205;2112;
Благовещенский;29074;1515;23550;2583;55;897;196;20;7;167;84;
Буздякский;37140;16566;4353;15420;80;25;432;118;3;20;123;
Бураевский;47288;27761;3154;12949;7;957;40;1;2321;10;88;
Бурзянский;10784;8756;1223;646;49;9;23;50;2;11;15;
Гафурийский;55982;20313;20028;10369;4046;11;923;83;11;44;154;
Давлекановский;45699;9732;17734;9764;1267;14;4774;1208;6;414;786;
Дуванский;35321;4009;26131;3838;61;45;107;1009;21;59;41;
Дюртюлинский;45425;15943;6209;18628;24;4518;44;6;11;7;35;
Ермекеевский;29868;8028;5354;9163;4814;3;304;1477;682;8;35;
Зианчуринский;29602;15076;9723;3207;828;7;213;122;0;20;406;
Зилаирский;28404;7460;17590;1271;1292;11;416;229;39;28;68;
Иглинский;64133;8108;33089;10078;2865;733;1084;167;9;6956;1044;
Илишевский;45474;28408;2463;12392;46;1242;44;11;820;11;37;
Калтасинский;46904;3597;11804;8366;39;19023;113;17;3763;51;131;
Караидельский;51426;11873;17667;18573;171;2661;151;55;71;36;168;
Кармаскалинский;55345;10739;13656;22989;5451;19;1040;899;7;145;400;
Кигинский;22741;6696;3562;11929;28;7;259;5;87;61;107;
Краснокамский;38198;15097;11127;5007;41;6604;135;16;45;30;87;
Кугарчинский;29271;9185;13191;4179;746;3;450;1118;0;23;376;
Куюргазинский;36134;8622;17149;4530;3215;11;1399;478;0;41;689;
Кушнаренковский;40005;9261;9696;20091;33;36;201;34;520;51;82;
Макаровский;39385;23593;9364;4026;1286;33;263;80;10;621;109;
Мелеузовский;58293;6349;41432;5154;1999;28;1671;846;5;117;692;
Мечетлинский;26049;12536;5711;7654;21;40;48;5;2;22;10;
Мишкинский;38120;2221;5979;8397;19;21331;82;7;5;12;67;
Миякинский;38167;10859;5084;15309;4431;19;2189;151;0;36;89;
Нуримановский;42570;10321;13845;14151;198;2877;505;54;10;371;238;
Покровский;16445;854;11942;2621;24;894;48;5;0;25;32;
Салаватский;32337;14542;7331;9958;34;30;126;236;6;27;47;
Стерлибашевский;29832;6678;4422;16553;793;4;571;648;2;20;141;
Стерлитамакский;48883;2459;23108;11459;5193;4;3614;2339;10;45;652;
Татышлинский;34469;22118;2385;2708;34;426;88;2;6648;12;48;
Туймазинский;98968;27563;28261;35938;2012;331;1705;1377;48;211;1522;
Уфимский;50601;982;37491;7919;819;76;2001;638;13;415;247;
Учалинский;55187;30514;13654;10068;69;14;348;48;2;95;375;
Федоровский;28182;2390;8241;7661;3408;2;1141;5212;0;15;112;
Хайбуллинский;28732;12595;11579;1189;463;20;2513;116;64;42;151;
Чекмагушевский;43112;15840;1669;23373;1592;258;283;13;1;18;65;
Чишминский;52094;5199;10539;28533;106;18;4794;2349;5;416;135;
Шаранский;35964;4565;6577;13155;4508;7032;65;9;5;10;38;
Юмагузинский;21448;9819;6947;2966;310;5;581;599;3;18;200;
Янаульский;63994;24945;13107;13082;202;4228;203;29;7984;49;165;
Уфа;546878;30321;355192;115146;4051;3527;15131;5470;546;4247;13247;
Белебей;54296;2667;31013;11798;2881;202;2594;1604;148;390;999;
Белорецк;73349;5016;59587;6109;143;476;1153;228;28;228;381;
Ишимбай;46568;5971;30746;5822;340;23;985;548;17;356;1760;
Кумертау;35960;2319;24802;4455;1162;35;1824;843;18;181;321;
Октябрьский;64717;4901;33552;17432;1061;220;2435;1468;128;387;3133;
Салават;60667;4407;40881;8044;1085;147;2625;974;51;740;1713;
Сибай;28822;7512;15895;3561;269;171;766;166;24;156;302;
Стерлитамак;111575;4545;71609;21882;3099;133;5079;2604;73;491;2060;
